,Unnamed: 0.1,Unnamed: 0,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,QID91,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q89,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q90,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds)
184,184,184,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Female,Non-Hispanic Black,Yes,No,,No,No,No,True,No,,Non-Hispanic Black,No,,True,8,6,4,8,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Often,Sometimes,Almost never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Always,Often,Sometimes,Sometimes,Almost never,247
185,185,185,I consent,I am between the ages of 18-25.,25.0,1999-12-11,Cisgender Male,White,Yes,No,,No,No,No,True,No,Just occasional baseball with friends,White,No,,True,12AM,30,7:30,7,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Almost never,Sometimes,Often,Always,Sometimes,Often,Often,Always,Often,Sometimes,Almost never,Always,Often,Always,Almost never,Often,Often,Sometimes,Sometimes,364
186,186,186,I consent,I am between the ages of 18-25.,19.0,2005-02-03,Cisgender Male,Asian,Yes,Yes - Part time,Sophomore,No,Yes,No,True,Yes,Tennis all 4 years,Asian,No,,True,9 PM,30,8 AM,9,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Three or more times a week,Once or twice a week,Once or twice a week,Less than once a week,Fairly good,Less than once a week,Less than once a week,Somewhat of a problem,Yes,Less than once a week,Less than once a week,Not during the past month,Not during the past month,75 degrees or higher,Almost never,Sometimes,,Often,Sometimes,Sometimes,Almost never,Almost never,,Sometimes,Almost never,Almost never,Almost never,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Often,397
187,187,187,I consent,I am between the ages of 18-25.,18.0,2006-05-23,Cisgender Female,White,Yes,No,,No,No,No,True,No,,White,No,,True,2 am,20 minutes,11 am,7 hours,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Very good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Always,Always,Often,Almost never,Almost never,Often,Often,Always,Almost never,Sometimes,Often,Sometimes,Sometimes,Almost never,Always,Always,Almost never,Often,Almost never,Sometimes,394
188,188,188,I consent,I am between the ages of 18-25.,19.0,2005-06-04,Cisgender Female,White,Yes,Yes - Part time,Sophomore,No,No,No,True,No,,White,No,,True,1am,One horror,10am,6-7,Three or more times a week,Three or more times a week,Three or more times a week,Less than once a week,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Almost never,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,247
189,189,189,I consent,I am between the ages of 18-25.,25.0,2000-01-12,Cisgender Female,White,Yes,Yes - Part time,Senior,No,No,No,True,Yes,Soccer,White,No,,True,11,25,6,6,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Often,Often,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,475
190,190,190,I consent,I am between the ages of 18-25.,23.0,2001-06-26,Cisgender Female,White,Yes,No,,No,No,No,True,No,0,White,No,,True,12AM,30,9:30,8,Less than once a week,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Once or twice a week,Three or more times a week,Three or more times a week,Three or more times a week,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Almost never,Often,Sometimes,Often,Always,Sometimes,Often,Sometimes,Always,Almost never,Often,Often,Always,Sometimes,Sometimes,Sometimes,311
191,191,191,I consent,I am between the ages of 18-25.,18.0,2006-10-12,Cisgender Female,White,Yes,No,,No,No,No,True,No,,White,No,,True,3 am,40,11 am,7,Three or more times a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Less than once a week,Fairly bad,Not during the past moth,Once or twice a week,A very big problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,282
192,192,192,I consent,I am between the ages of 18-25.,24.0,2000-10-13,Cisgender Female,White,Yes,No,,No,No,No,True,No,,White,,,True,,40,,,Three or more times a week,Once or twice a week,Once or twice a week,,,Less than once a week,Once or twice a week,Less than once a week,,,,,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Almost never,Almost never,,,,,,,,Often,Almost never,Always,,,,,,153
193,193,193,I consent,I am between the ages of 18-25.,21.0,2003-02-16,Cisgender Male,White,Yes,No,,No,No,No,False,Yes,Wide-receiver,White,No,,True,2am,30 minutes,10am,7,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Almost never,386
194,194,194,I consent,I am between the ages of 18-25.,21.0,2003-05-26,Cisgender Female,White,Yes,No,,No,No,No,True,Yes,"Cross-country, runner, 3 years",White,No,,True,10 p.m.,20 minutes,5 a.m.,6 hours,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Almost never,Often,Almost never,Always,Always,Often,Sometimes,Sometimes,Sometimes,477
195,195,195,I consent,I am between the ages of 18-25.,23.0,2001-02-12,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,True,No,,Non-Hispanic Black,No,,True,10,60,8,9,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Sometimes,Sometimes,Almost never,Often,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,384
196,196,196,I consent,I am between the ages of 18-25.,23.0,2001-10-04,Cisgender Male,,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Football, Left guard, 2 years",,No,,True,11:00,60,7:00,8,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Once or twice a week,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Almost never,Often,Almost never,Almost never,Almost never,Almost never,Often,Often,Almost never,Often,Almost never,Always,Often,Almost never,Almost never,Sometimes,Often,467
197,197,197,I consent,I am between the ages of 18-25.,23.0,2001-12-31,Cisgender Male,Asian,Yes,No,,No,No,No,True,Yes,"Golf, Individual, all 4 years, Badminton, Men Doubles, 2 years",Asian,No,,True,10 pm,15,6:30 am,8,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Fairly good,Once or twice a week,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,414
198,198,198,I consent,I am between the ages of 18-25.,22.0,2002-02-22,Cisgender Female,Non-Hispanic Black,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"twirling, twirler, 2 years",Non-Hispanic Black,No,,True,11pm,20 minute,6 am,6 hours,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Less than once a week,A very big problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Often,Often,Often,Sometimes,Almost never,Always,Always,Always,Always,Sometimes,Often,Sometimes,Sometimes,Almost never,Always,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,441
199,199,199,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,True,Yes,Wrestling 3 years,White,No,,True,1am,20,730am,7,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Almost never,Always,Often,Almost never,Almost never,Almost never,Almost never,Often,Almost never,206
200,200,200,I consent,I am between the ages of 18-25.,21.0,2003-09-08,Cisgender Female,Asian,Yes,Yes - Full time,Senior,Yes,No,No,True,Yes,"Tennis, all 4 yeas",Asian,No,,True,12 am,10,10 am,9,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Three or more times a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Often,Always,Often,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,277
201,201,201,I consent,I am between the ages of 18-25.,24.0,2000-05-14,Cisgender Female,White,Yes,Yes - Full time,Sophomore,Yes,Yes,No,True,Yes,"Soccer, Defense, 3 Years; Lacrosse, Defense, 3 Years",White,Yes,1,True,11:30pm,45 minutes,7:30am,7,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Almost never,Sometimes,Often,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Sometimes,Often,249
202,202,202,I consent,I am between the ages of 18-25.,25.0,1999-07-31,Cisgender Female,Asian,Yes,Yes - Full time,Junior,No,No,No,True,No,,Asian,No,,True,11,30,6,6,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Almost never,Sometimes,Often,Sometimes,Always,Almost never,Sometimes,Sometimes,Almost never,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,178
203,203,203,I consent,I am between the ages of 18-25.,24.0,2000-01-01,Cisgender Male,Asian,Yes,Yes - Part time,Senior,No,No,No,True,Yes,Swimming,Asian,No,,True,1pm,60,10am,6,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Three or more times a week,Not during the past month,Less than once a week,Less than once a week,Fairly good,Less than once a week,Once or twice a week,No problem at all,No,,,,,75 degrees or higher,Often,Sometimes,Often,Often,Sometimes,Always,Always,Always,Sometimes,Often,Always,Always,Often,Always,Always,Sometimes,Often,Always,Always,Often,171
204,204,204,I consent,I am between the ages of 18-25.,22.0,2002-10-23,Cisgender Female,Asian,Yes,No,,No,No,No,True,Yes,"Basketball, volleyball",Asian,No,,True,2am,5 minutes,11am,8 hrs,Less than once a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Often,Often,Always,Always,Almost never,Sometimes,Often,Often,Often,477
205,205,205,I consent,I am between the ages of 18-25.,24.0,2000-03-14,Cisgender Male,White,Yes,No,,No,No,No,True,No,,White,No,,True,12am,45,8am,8,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Almost never,Often,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,454
206,206,206,I consent,I am between the ages of 18-25.,23.0,2001-03-31,Cisgender Female,White,Yes,Yes - Part time,Senior,No,No,No,True,Yes,Soccer,White,No,,True,2am,20,11am,9,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Sometimes,Almost never,Sometimes,Often,Often,Often,Sometimes,Almost never,Often,Often,Almost never,Almost never,Always,Always,Sometimes,Almost never,Sometimes,Almost never,182
207,207,207,I consent,I am between the ages of 18-25.,25.0,1999-05-08,Cisgender Male,Non-Hispanic Black,Yes,No,,No,No,No,True,Yes,Soccer for a year,Non-Hispanic Black,No,,True,12:00 pm,2,8:00 am,7,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Always,Always,Almost never,Almost never,Often,Always,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Often,Often,Always,Almost never,513
208,208,208,I consent,I am between the ages of 18-25.,20.0,2004-04-10,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Cheerleader, flyer, 1 year",White,No,,True,11:30,30,7:30,7,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Less than once a week,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Always,Often,Always,Sometimes,Often,Always,Often,Always,Sometimes,Always,Often,Always,Often,Sometimes,Often,Always,Sometimes,Sometimes,Always,Often,290
209,209,209,I consent,I am between the ages of 18-25.,19.0,2005-12-23,Cisgender Male,Latino/Hispanic,No,Yes - Full time,Sophomore,No,No,No,False,Yes,Soccer,Latino/Hispanic,No,,True,11,20,7,8,Once or twice a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Almost never,Often,Often,Almost never,Almost never,Often,Almost never,Almost never,Sometimes,Often,Sometimes,Often,Sometimes,238
210,210,210,I consent,I am between the ages of 18-25.,21.0,,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,Yes,True,Yes,horseback riding 2 years,White,No,,True,1 am,30 min,11 am,10,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Fairly good,Not during the past moth,Once or twice a week,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Almost never,186
211,211,211,I consent,I am between the ages of 18-25.,25.0,1999-04-17,Cisgender Female,Asian,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"volleyball, libero, all 3 years",Asian,No,,True,1am,15 mins,8am,6 hours,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Three or more times a week,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Always,Almost never,Sometimes,Almost never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Always,Often,Almost never,Almost never,Almost never,Almost never,361
212,212,212,I consent,I am between the ages of 18-25.,18.0,2006-05-14,Cisgender Female,White,Yes,Yes - Full time,Freshman,No,No,No,True,Yes,"Track, distance, 2 years",White,No,,True,11,5,8,8,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,,Almost never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Often,Often,Sometimes,Sometimes,198
213,213,213,I consent,I am between the ages of 18-25.,23.0,2001-11-29,Cisgender Female,Non-Hispanic Black,Yes,No,,No,No,No,True,Yes,Basketball 4 years,Non-Hispanic Black,No,,True,10:30 pm,15,5:00,6,Not during the past month,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Always,Always,Almost never,Almost never,Almost never,Almost never,Always,Almost never,Almost never,Always,Always,Almost never,Almost never,Always,Always,Always,Almost never,472
214,214,214,I consent,I am between the ages of 18-25.,25.0,1999-08-10,Cisgender Female,White,Yes,No,,No,No,Yes,True,Yes,"Soccer, All Positions, all 4 years",White,No,,True,12:30AM,30,8AM,6 Hours & 40Mins ,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Fairly good,Less than once a week,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Not during the past month,Less than once a week,75 degrees or higher,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Sometimes,Almost never,Often,Sometimes,Often,Sometimes,Often,Sometimes,497
215,215,215,I consent,I am between the ages of 18-25.,25.0,1999-11-27,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,True,No,,Asian,No,,True,4:00am,120,12:00pm,7,Three or more times a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,287
216,216,216,I consent,I am between the ages of 18-25.,25.0,1999-03-24,Cisgender Female,White,Yes,No,,No,No,No,True,Yes,Girls Cross Country,White,No,,True,1030,30,730,8,Once or twice a week,Three or more times a week,Three or more times a week,Three or more times a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Three or more times a week,Fairly good,Not during the past moth,Not during the past month,Somewhat of a problem,Yes,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,75 degrees or higher,Often,Often,Sometimes,Sometimes,Often,Often,Often,Always,Always,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Almost never,339
217,217,217,I consent,I am between the ages of 18-25.,24.0,2000-03-29,Transgender Male,White,Yes,Yes - Part time,Freshman,No,No,Yes,True,Yes,"Track and field, 1 year",White,No,,True,11:30pm,35,8:30am,7-7.5,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Three or more times a week,Once or twice a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,65-69 degrees,Often,Sometimes,Often,Sometimes,Almost never,Often,Often,Always,Always,Almost never,Always,Sometimes,Often,Often,Always,Sometimes,Almost never,Sometimes,Almost never,Often,187
218,218,218,I consent,I am between the ages of 18-25.,25.0,1999-05-12,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,True,Yes,Football - 2 years defensive end || Soccer - 3 years - defense || baseball - 1 year pitcher ,White,No,,True,11pm,30,8am,8,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Almost never,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,510
219,219,219,I consent,I am between the ages of 18-25.,21.0,2003-10-01,Cisgender Male,White,Yes,Yes - Part time,Freshman,Yes,No,No,True,Yes,"Football, Running back, 1 year. Track, pole vault, all 4 years",White,No,,True,1am,65,10:20am,7-8,Three or more times a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Fairly bad,Once or twice a week,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Often,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Often,Almost never,Often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,357
220,220,220,I consent,I am between the ages of 18-25.,22.0,2002-01-01,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,Yes,True,Yes,baseball,White,No,,True,10:30,10,7:00,7,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,170
221,221,221,I consent,I am between the ages of 18-25.,18.0,2006-07-28,Cisgender Male,Latino/Hispanic,Yes,Yes - Full time,Freshman,No,No,No,True,Yes,"soccer, center mid, 3 years",Latino/Hispanic,No,,True,midnight,10 minutes,9 am,8.75 hours,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Three or more times a week,Less than once a week,75 degrees or higher,Sometimes,Almost never,Almost never,Always,Always,Sometimes,Almost never,Almost never,Almost never,Always,Almost never,Almost never,Always,Almost never,Often,Almost never,Always,Always,Always,Almost never,312
222,222,222,I consent,I am between the ages of 18-25.,22.0,2002-04-29,Cisgender Female,White,Yes,Yes - Full time,Junior,Yes,Yes,Yes,True,Yes,gymnastics,White,Yes,1,True,11pm,45 min,6 am,3-4 hrs,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Very bad,Three or more times a week,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Always,Always,Always,Almost never,Almost never,Always,Always,Always,Always,Always,Always,Always,Sometimes,Almost never,Sometimes,Almost never,Almost never,Almost never,Almost never,Always,208
223,223,223,I consent,I am between the ages of 18-25.,22.0,,Cisgender Female,Biracial (specify below):,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"marching band, all 4 years; martial arts, all 4 years",Biracial,No,,True,11:30,20,9am,7,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Often,Often,Almost never,Sometimes,Always,Often,Always,Often,Almost never,Sometimes,Almost never,Sometimes,Often,Always,Often,Often,Sometimes,Sometimes,Almost never,361
224,224,224,I consent,I am between the ages of 18-25.,24.0,2000-10-12,Cisgender Female,Asian,Yes,No,,No,No,No,True,Yes,Field Hockey,Asian,No,,False,12 AM,15,8:30 AM,7,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Always,Sometimes,Sometimes,Almost never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Often,Almost never,Always,Almost never,Sometimes,Often,Sometimes,Always,Sometimes,Sometimes,207
225,225,225,I consent,I am between the ages of 18-25.,22.0,2002-09-21,Cisgender Male,White,Yes,Yes - Part time,Senior,No,No,No,True,No,,White,No,,True,12:00 AM,30,10:00 AM,7,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Often,Always,Sometimes,Almost never,Sometimes,Often,Sometimes,Almost never,Sometimes,Often,Always,Sometimes,Almost never,Always,Almost never,Often,Sometimes,Sometimes,Almost never,389
226,226,226,I consent,I am between the ages of 18-25.,25.0,1999-01-01,Cisgender Male,Non-Hispanic Black,Yes,No,,No,No,No,True,Yes,"Soccer, 4 years.",Non-Hispanic Black,No,,True,9pm,10,5:30,8,Not during the past month,Less than once a week,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Sometimes,Sometimes,Often,Always,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Always,Sometimes,Sometimes,Almost never,Often,Always,Sometimes,Almost never,698
